,Марка,Модель,Год,Город,Пробег(км),Объем двигателя (см³),Мощность двигателя (л.с.),Цилиндров,Коробка,Привод,Цвет,Цена(руб),Форма двигателя
166,Avantis,Avantis A6,2021,Воронеж,1500,300,27.0,1.0,МКПП-5,цепь,чёрный,209000,рядное
167,Avantis,Avantis A7,2023,Москва,272,300,38.0,1.0,МКПП-6,цепь,чёрный,349900,рядное
168,Avantis,Avantis A2,2020,Владимир,1000,250,23.0,1.0,МКПП-5,цепь,оранжевый,150000,рядное
169,Avantis,Avantis Enduro 250,2019,Уфа,2500,250,21.0,1.0,МКПП-5,цепь,белый,165000,рядное
170,Avantis,Avantis Enduro 300 Pro/EFI,2021,Москва,3,300,37.0,1.0,МКПП-6,цепь,синий,350000,рядное
171,Avantis,Avantis MT250,2022,Подольск,12000,250,21.0,1.0,МКПП-6,цепь,зелёный,152000,рядное
172,Avantis,Avantis FX 250,2019,Сочи,2000,250,19.0,1.0,МКПП-5,цепь,белый,120000,рядное
173,Avantis,Avantis Enduro 250 Pro/Carb,2021,Орёл,1000,250,21.0,1.0,МКПП-5,цепь,чёрный,210000,рядное
174,Avantis,Avantis A6,2022,Серов,500,300,26.0,1.0,МКПП-5,цепь,синий,275000,рядное
175,Avantis,Avantis MT250,2022,Екатеринбург,13600,250,19.0,1.0,МКПП-6,цепь,жёлтый,150000,рядное
176,Avantis,Avantis Enduro 250,2020,Москва,600,250,19.0,1.0,МКПП-5,цепь,белый,600000,рядное
177,Avantis,Avantis Enduro 250 Pro/Carb,2019,Звенигород,807,250,21.0,1.0,МКПП-5,цепь,белый,240000,рядное
178,Avantis,Avantis Enduro 300 Pro/Carb,2022,Казань,270,300,26.0,1.0,МКПП-5,цепь,чёрный,240000,рядное
179,Avantis,Avantis FX 250,2021,Черногорск,2000,250,21.0,1.0,МКПП-5,цепь,белый,165000,рядное
180,Avantis,Avantis A5,2021,Калуга,3000,250,21.0,1.0,МКПП-5,цепь,оранжевый,185000,рядное
181,Avantis,Avantis Enduro 250,2020,Бронницы,100,250,21.0,1.0,МКПП-5,цепь,синий,225000,рядное
182,Avantis,Avantis A6,2021,Москва,2350,280,25.0,1.0,МКПП-5,цепь,чёрный,200000,рядное
183,Avantis,Avantis A5,2022,Новокузнецк,32,250,21.0,1.0,МКПП-5,цепь,оранжевый,215000,рядное
184,Avantis,Avantis Enduro 300 Pro/EFI,2020,Севастополь,100,300,45.0,1.0,МКПП-5,цепь,оранжевый,333000,рядное
185,Avantis,Avantis Enduro 250 Pro/Carb,2022,Собинка,1000,250,21.0,1.0,МКПП-5,цепь,чёрный,250000,рядное
186,Avantis,Avantis Enduro 250,2019,Солнечногорск,67,250,21.0,1.0,МКПП-5,цепь,оранжевый,195000,рядное
187,Avantis,Avantis A5,2021,Ирбит,1000,250,21.0,1.0,МКПП-5,цепь,белый,195000,рядное
188,Avantis,Avantis Enduro 300 Pro/EFI,2018,Москва,1000,300,37.0,1.0,МКПП-6,цепь,оранжевый,285000,рядное
189,Avantis,Avantis FX 250,2023,Великий Новгород,700,250,21.0,1.0,МКПП-5,цепь,белый,195000,рядное
190,Avantis,Avantis A7,2020,Оренбург,600,250,21.0,1.0,МКПП-5,цепь,чёрный,190000,рядное
191,Avantis,Avantis A5,2022,Москва,2200,250,21.0,1.0,МКПП-5,цепь,белый,150000,рядное
192,Avantis,Avantis MT250,2021,Тольятти,6000,250,22.0,1.0,МКПП-6,цепь,красный,140000,рядное
