Марка,Модель,Год,Город,Пробег(км),Объем двигателя (см³),Мощность двигателя (л.с.),Цилиндров,Коробка,Привод,Цвет,Цена(руб)
Kawasaki,Kawasaki GTR 1400 (Concours 14),2008,Москва,58063,1400,155,,6 передач,кардан,серый,719100
Kawasaki,Kawasaki Z 650,2018,Москва,11690,650,68,,6 передач,цепь,чёрный,663300
Kawasaki,Kawasaki Z 650,2018,Москва,35711,650,68,,6 передач,цепь,чёрный,627300
Kawasaki,Kawasaki Z 1000SX,2023,Москва,117,1043,142,,6 передач,цепь,чёрный,1689300
Kawasaki,Kawasaki ZX-10 Ninja,2009,Москва,32498,998,200,,6 передач,цепь,чёрный,757000
Kawasaki,Kawasaki Ninja 400,2013,Москва,6993,400,44,,6 передач,цепь,белый,449100
Kawasaki,Kawasaki ZZR 1400,2007,Москва,42739,1400,200,,6 передач,цепь,синий,629100
Kawasaki,Kawasaki ER-6f (Ninja 650R),2017,Москва,29093,650,72,,6 передач,цепь,чёрный,629100
Kawasaki,Kawasaki Z 1000SX,2023,Москва,285,1043,142,,6 передач,цепь,чёрный,1797300
Kawasaki,Kawasaki Ninja 400,2010,Москва,20481,400,44,,6 передач,цепь,синий,359100
Kawasaki,Kawasaki Z 1000SX,2023,Москва,230,1043,142,,6 передач,цепь,чёрный,1709100
Kawasaki,Kawasaki Z 1000SX,2023,Москва,409,1043,142,,6 передач,цепь,чёрный,1709100
Kawasaki,Kawasaki Ninja 400,2016,Москва,26860,400,44,,6 передач,цепь,чёрный,404100
Kawasaki,Kawasaki Z H2,2023,Москва,1664,998,200,,6 передач,цепь,чёрный,2299000
Kawasaki,Kawasaki Ninja 400,2015,Москва,6230,400,44,,6 передач,цепь,зелёный,429300
Kawasaki,Kawasaki Z 1000SX,2023,Москва,110,1043,142,,6 передач,цепь,чёрный,1689300
Kawasaki,Kawasaki Z 650,2018,Москва,10341,650,68,,6 передач,цепь,белый,629100
Kawasaki,Kawasaki ER-6f (Ninja 650R),2019,Москва,31206,650,75,,6 передач,цепь,чёрный,654300
Kawasaki,Kawasaki Ninja 400,2011,Москва,17311,400,44,,6 передач,цепь,синий,359100
Kawasaki,Kawasaki Z 650RS,2022,Москва,1641,650,68,,6 передач,цепь,зелёный,899100
Kawasaki,Kawasaki Ninja 400,2013,Москва,17452,400,44,,6 передач,цепь,чёрный,449100
Kawasaki,Kawasaki Ninja 400,2016,Москва,24883,400,44,,6 передач,цепь,чёрный,449100
Kawasaki,Kawasaki Ninja 400,2015,Москва,24752,400,44,,6 передач,цепь,зелёный,429300
Kawasaki,Kawasaki Ninja 400,2012,Краснодар,19721,399,44,2 цилиндра/рядное,6 передач,цепь,зелёный,495000
Kawasaki,Kawasaki Z 650,2017,Владивосток,11000,649,68,2 цилиндра,6 передач,цепь,чёрный,603000
Kawasaki,Kawasaki ER-6f (Ninja 650R),2023,Москва,1200,649,68,2 цилиндра/рядное,6 передач,цепь,белый,760000
Kawasaki,Kawasaki Z 900,2020,Москва,12000,900,125,4 цилиндра/рядное,6 передач,цепь,чёрный,720000
Kawasaki,Kawasaki ZX-6 Ninja,2006,Дубна,62000,636,136,4 цилиндра/рядное,6 передач,цепь,золотистый,605000
Kawasaki,Kawasaki Z 1000SX,2021,Москва,1700,1043,142,4 цилиндра/рядное,6 передач,цепь,чёрный,1395000
Kawasaki,Kawasaki Versys 650,2012,Раменское,16071,650,64,2 цилиндра/рядное,6 передач,цепь,синий,465000
Kawasaki,Kawasaki Ninja 400,2022,Красногорск,3325,400,45,,6 передач,цепь,синий,740000
Kawasaki,Kawasaki Ninja 400,2020,Красногорск,18368,400,45,,6 передач,цепь,зелёный,620000
Kawasaki,Kawasaki Ninja 400,2013,Москва,16009,400,44,2 цилиндра/рядное,6 передач,цепь,синий,395000
Kawasaki,Kawasaki Z 1000SX,2018,Москва,4828,1043,142,4 цилиндра/рядное,6 передач,цепь,чёрный,1125000
Kawasaki,Kawasaki Ninja 300,2023,Кашира,2400,300,24,,6 передач,цепь,зелёный,300000
